n,k,time
1e3,2.0,0.007000000012340024
1e3,10.0,0.0029999999969732016
1e3,100.0,0.0029999999969732016
1e3,1e3,0.004000000000814907
1e4,2.0,0.013000000006286427
1e4,10.0,0.012000000002444722
1e4,100.0,0.01600000000325963
1e4,1e3,0.013999999995576218
1e5,2.0,0.1349999999947613
1e5,10.0,0.1299999999901047
1e5,100.0,0.12800000001152512
1e5,1e3,0.12400000001071021
1e6,2.0,1.342000000004191
1e6,10.0,1.3910000000032596
1e6,100.0,0.9479999999894062
1e6,1e3,0.9540000000124564
1e7,2.0,18.101999999998952
1e7,10.0,13.903000000005704
1e7,100.0,12.165999999997439
1e7,1e3,11.873999999996158
